Min_tot,Poblacion,area_m2,Densidad_ha
23.3,1367,151563.1,89.9
30.97,1445,162471.4,89.2
31.12,1503,173622,86.4
34.07,1679,180198.1,93.3
36.45,1451,187965.7,77.2
30.25,1211,244285.3,49.6
36.88,1331,466989.9,28.5
46.6,977,2451849,4
10.07,1201,542464.1,22.2
2.75,1518,196845.9,157.3
5.9,966,128581.6,74.9
3.43,956,187849.9,50.9
9.37,1835,203892.6,193
12.63,1123,111510.6,100.3
7.02,2344,239929.8,196
18.3,782,146825.8,53.2
7.4,894,162048.6,55.2
3.75,737,177922.6,41.4
13.1,873,237537.1,36.7
7.4,742,98561.9,74.9
9.6,1359,287965.3,47.2
16,1771,2084959.3,8.5
16.07,806,107025.4,75.3
11.47,871,719870.1,12.1
21.02,700,193112.6,36.3
17.53,1209,120593.5,99.9
3.35,1689,168191.6,100.5
8.07,1739,193736.7,89.6
6.75,3500,285280.7,367.9
0.43,2792,217646,256
5.88,3129,240137.2,260.8
9.25,824,130859.9,62.9
3.35,1888,148299.8,127.6
4.2,2035,156920.8,129.6
7.32,762,423763,18
17.57,947,217412.8,43.6
9.45,2479,237574.8,312.4
11.98,1927,198454.5,197.1
7.6,894,77573.4,114.6
14.25,1261,149789.5,84.1
9.9,1799,141262.9,255.1
5.22,2479,286498,184.5
11.67,1584,126432.1,125.7
19.75,1181,180798.1,65.2
4.77,764,112869.2,67.6
9.93,1119,226825.9,49.3
2.98,1283,391366.9,32.8
19.63,1691,171600.8,198.5
10.65,1874,251765.5,148.7
8.67,777,124756,62.2
11.35,1227,149899.4,81.8
22.03,1653,167464.6,99
6.28,1551,172522.6,89.7
5.9,1147,230003.4,49.9
160,862,724656.2,11.9
160,824,894162.4,9.2
50.3,492,1049324,4.7
9.92,914,253156.3,36.1
27,1156,273298.2,42.3
5.5,1319,296716,44.4
12.58,596,326335.9,18.3
12.13,927,394973.7,23.5
30.15,1608,352179.8,45.7
12.47,1513,555481,27.3
10.52,1621,978448.9,16.6
19.25,951,619767.9,15.3
38.77,804,141105.6,57
38.37,197,326071.5,6
36.37,1904,253756.2,188.8
46.78,1836,233081.7,158.9
160,626,99884,62.6
42.17,969,175828.1,55.1
160,1277,263607.3,48.4
160,1522,389202.6,39.1
160,1260,410543.8,30.7
160,1194,442314.4,27
160,720,524616.7,13.7
34.72,1257,137284.5,91.8
34.45,528,223642.9,23.6
20.55,877,223725,39.2
33.77,1471,227298.3,64.8
30.37,967,242144.3,40
11.58,1249,292931.4,42.6
16.55,982,329424.8,29.8
26.02,1607,329926.3,48.7
26.97,957,332199,28.8
4.98,1086,421175.8,25.8
38.4,1206,504039.5,23.9
9.5,849,245108.3,34.7
20.62,765,262354.7,29.2
3.55,601,267578.3,22.4
13.28,780,183843.3,42.4
13.92,642,204105.8,31.5
18.25,746,258508.8,28.8
10.98,671,468296.5,14.3
15.85,573,826867.6,6.9
39.73,370,1833990.5,2
2.37,747,272683.8,27.4
14.37,743,418524.7,17.7
5.43,838,457094.1,18.3
9.93,746,523792.1,14.2
22.47,1217,625597,19.4
34.87,1001,612878.6,16.3
27.53,1343,719927.7,18.7
17.28,788,751787.7,10.5
33.35,1246,1889513,6.6
22.78,1004,412682.2,24.3
24.67,986,470822.4,20.9
32.35,1144,880422.8,13
51.55,727,391343.3,18.6
41.55,802,397239,20.2
29.07,647,525044.6,12.3
160,755,588103.2,12.8
15.28,1105,789093.3,14
12.93,1551,1562333.4,9.9
28.45,1087,383012.7,28.4
160,804,489040.6,16.4
13.38,1649,1322547.1,12.5
2.2,980,224145.3,43.8
12.5,666,280359.5,23.8
1.47,804,285205.4,28.2
18.72,1069,383574.7,27.8
21.65,832,558481.2,14.9
5.05,678,148139,45.8
25.53,1107,321199.6,34.5
9.07,1274,448363.2,28.4
16.45,727,644018.8,11.3
19.68,1470,881147.4,16.7
6.28,877,290564.7,30.1
4.18,886,336903.8,26.3
14.4,1059,433105.3,24.5
23.48,1098,337963.1,32.5
18.15,988,341211,29
15.18,1139,578295.3,19.7
27.45,604,409983.6,14.7
11.48,614,474020.3,13
19.73,610,1035629,5.9
32.15,989,1148650.4,8.6
33.7,803,1747776.3,4.6
29.57,751,227061.2,33.1
10.72,557,270786,20.6
19.47,570,282564.9,20.1
19.1,1090,642346.1,17
17.58,848,773108,11
26.88,952,269720.4,35.3
30.37,800,365145.7,21.9
16.97,896,460132,19.5
5.52,597,53058,112.6
2.25,1519,260052.9,119.6
9.27,660,178696,36.9
10.03,930,298918.6,31.1
11.67,685,138944,49.3
7.35,874,198717.3,43.9
6.55,1345,249964.1,53.8
26.4,1203,670053.2,18
15.25,1266,153015.4,82.7
20.23,918,156980.3,58.5
11.2,799,222185,36
38.52,1117,412224.2,27.1
31.75,730,510571.8,14.3
25.35,987,511039.1,19.3
22.37,859,555982.4,15.4
12.1,1214,635219.6,19.1
35.25,703,672835.3,10.4
38.63,576,549521.4,10.5
24.45,949,2308288,4.1
29.12,537,270294.5,19.9
15.25,721,167443.4,43.2
16.98,1053,182633.1,57.5
14.15,701,214981.8,32.6
24.02,1969,288649.2,206
18.75,709,93192.9,76.2
25.7,1436,168169.7,85.5
22.42,1040,268197.3,38.8
24.45,962,370763.1,25.9
10.55,702,435077.9,16.1
10.73,729,461564,15.8
53.4,183,5380630.4,0.3
27.12,1082,160156.2,67.6
25.07,1291,847568.1,15.2
3.08,742,188488.2,39.5
15.5,2280,251854.1,175.6
13.62,2300,249229,184.7
7.72,749,146698.8,51
2.7,1065,187273.4,57
160,1203,201058.3,59.9
5.42,1242,470828.3,26.4
18.18,895,563445.8,15.9
