Min_tot,Poblacion,area_m2,Densidad_ha
24.92,1177,224626.8,52.3
30.3,1122,250302.2,44.9
25.55,1830,268291.2,68.3
34.93,926,335554.9,27.6
21.82,1379,350315,39.4
9.1,878,256091.5,34.3
17.87,749,258496.4,29
5.22,611,284054.5,21.5
15.1,1538,256323.4,124.1
18.03,914,178117.4,51.3
17.73,781,190793.8,40.9
17.43,988,235234.6,42
14.55,1003,264785.7,37.8
5.08,1119,296371.8,37.8
5.58,1323,422908.6,31.3
7.97,762,425998.9,17.9
14.53,1331,443765.2,30
6.63,1112,514860.2,21.6
13.7,878,145245.4,60.6
17.7,1017,555122.7,18.3
14.58,1119,1344502.2,8.3
13.72,962,1351250.5,7.1
11.08,1572,1433811.4,11
34.88,1179,8502314.3,1.4
17.32,967,1591257.8,6.1
12.58,1034,167209.7,61.9
14.3,823,432073.6,19.1
25.38,893,487848.6,18.3
54.82,1219,495440.5,24.6
26.15,560,726989.8,7.7
160,701,1037993.7,6.8
18.88,1097,1404419.6,7.8
52.73,732,2141082.8,3.4
39.5,795,2374072.7,3.3
160,768,3517725.4,2.2
32.5,1845,220578.8,167
35.28,1223,197107.1,62.1
34.88,1457,388030.6,37.6
32.72,1099,1043746.4,10.5
17.42,1181,159726.9,73.8
22.9,1525,251126,60.8
22.4,7,1553360.7,0
5.13,701,210209.7,33.4
8.17,520,215774.1,24.1
9.27,820,251079,32.7
4.37,536,291097.3,18.4
8.02,991,306423.5,32.4
18.95,634,316457.6,20.1
18.18,861,322470,26.7
4.55,762,352814.1,21.6
6.08,874,358634.1,24.3
4.62,601,360976.5,16.6
3.65,1274,386729.8,32.9
11.8,740,390416.2,19
10.5,845,398814.4,21.2
6.47,835,418955.2,19.9
10.78,1777,611722.8,29
20,871,571484.1,15.3
11.67,1238,277026.6,90.4
14.15,1089,286050.4,75.9
15.12,751,142241.6,52.9
15.08,845,158178.2,53.5
11.07,825,179357.2,46.1
13.75,922,182972.2,50.4
8.28,971,189341.4,51.4
10.1,726,245159.3,29.6
18.38,1287,258972.7,49.7
2.98,521,263342.1,19.8
2.03,923,274688,33.6
5.87,1115,390189,28.6
8.78,1312,250090.7,109.9
1.13,902,257009,70.5
14.12,924,164072.7,56.3
5.43,1018,168087.4,60.6
9.67,695,171335.8,40.6
11.82,484,206659.7,23.4
5.57,1040,242566.1,42.8
8.48,1434,231511,124.9
2.23,1039,108313.8,96.2
10.87,742,119098.6,62.4
11.23,1219,289734.4,42
6.82,1290,177725.1,152.7
3,1874,200721.2,187.5
16.08,1591,155766.6,205.4
5.6,2328,278595.1,253.9
14.02,2326,276143.9,260.7
7.17,602,77755.7,77.2
12.45,1213,191078.3,63.5
2.92,2248,254671,264.7
17.87,795,84643.7,93.5
4.03,755,85082,88.8
5.42,664,79099.1,84.1
17.37,2421,243442.2,296.9
11.03,2658,242959.4,334.7
6.25,2358,214156.1,330.5
22.82,957,107744.6,88.6
8.88,1107,108424.4,102.5
12.28,1301,125290.3,104.1
14.48,1864,278773.8,134.7
28.17,1193,164794.5,72.3
9.75,838,182763.3,45.8
14.78,1267,225915.1,56.1
5.72,1276,229200.9,55.7
13.78,1334,230195.5,58
2.73,1199,231520.7,51.7
10.62,997,241931.8,41.2
9.47,731,114480.2,64.1
28.97,1006,153663.2,65.3
20.9,2667,270090.4,198.2
30.05,1263,153949.7,82
18.73,1735,89708.2,192.8
15,1876,212401.5,88.5
18.85,1793,204570.2,176.2
19.7,2182,257314.2,170
9.27,1012,162618.4,62.1
16.4,972,261118,37.2
16.7,1673,208092.7,161.6
9.82,1321,161510.7,81.5
5.73,1122,179530.1,62.3
19.65,1224,702765.9,17.4
12.53,878,91095.5,96.5
17,1933,206528.3,186
17.78,2508,236815,212.3
18.68,1271,119494.5,106.8
16.75,2017,256346.7,173.5
30.38,2159,227552.2,192.5
22.33,1221,117189.9,104.4
22.2,1015,126059.5,80.6
6.3,835,126334.5,66.3
13.1,1419,187684.3,75.5
19.95,1108,224373.3,49.5
30.1,1437,484502.5,29.6
18.23,2238,239863.9,186.3
29.43,1239,147843.5,83.7
23.25,1455,184681.8,78.6
27.05,697,145246.3,48.1
27.9,942,168885.9,55.7
14.13,1303,288897.3,45.1
16.65,2666,278826.1,195.1
13.72,1952,171464.7,228.7
7.7,2143,193816,219.4
8.32,1903,257639.5,147.6
27.7,1416,130894.1,108.1
15.67,1729,150637.1,114.5
18.03,1419,172677,82
21.3,1077,225646.8,47.7
20.48,1662,155846.8,106.5
29.15,1195,215815,55.3
32.47,1204,226415.7,53.3
30.67,1949,278245.3,70.1
8.78,1006,91700.8,109.3
18.4,3022,299750.3,302
7.97,2074,220238.5,186.9
4.18,1349,154616.9,87
6.43,1112,165988,67
20.6,899,78046.8,115.3
10.43,2008,229509.7,173.9
3.42,1039,154699.1,67
15.62,1188,111082.1,107
7.5,1270,166933.7,76
6.68,1151,195261.4,59
5.2,2559,278107.9,276.2
1.57,1542,186777.2,164.5
6.48,795,95933.1,82.8
1.13,2226,297919.6,155.9
7,1036,148089.5,70
11.1,745,154476.2,48.4
13.4,905,156910.4,57.6
7.32,1086,171629.5,63.1
16.82,960,211089,45.5
11.33,1534,188462.2,162.3
8.93,965,104310.8,92.8
3.57,1003,134015.1,74.9
7.52,738,138520.7,53.1
9.52,781,77792,100.1
14.58,1456,166691.7,174.3
9.83,802,107473.3,75
14.07,2629,299777.7,352.1
9.47,1423,161485.1,176.2
14.77,1791,194196.2,180
11.23,1029,172191.4,118.5
13.18,1549,197451.7,157.6
10.4,1045,121283.4,86.4
10.82,639,691197.6,9.2
7.1,819,71916.5,113.8
4.7,993,71380.7,139.9
7.85,693,266842.3,26
8.88,2023,218642.1,181.8
5.75,2187,242085,189.7
11.33,1493,214374.7,69.8
6.07,1826,192932.8,188
24.47,908,109368.7,83.3
1.92,1042,118448.9,88.3
8.88,1248,136232.7,91.8
2.43,817,144692.7,56.3
14.67,3273,148148.4,221.1
1.67,1487,269045.3,111.7
7.85,1417,186647.4,151.4
6.37,1480,205709.4,143.4
8.13,1452,224970,133.1
1.7,1794,218389.3,163.3
6.25,992,126262.4,78.7
9.23,1430,167025.2,170.9
5.25,1178,135718.2,86.6
4.08,1767,206215.3,256.9
4.58,565,73018.6,77.4
5.6,1656,278807.2,181
2.07,2129,206722.7,310.5
10.55,3153,259491.1,377.9
7.42,2814,285432.9,298
4.88,865,80086.1,108.1
10.65,1407,152844.6,92
12.27,1463,121375.4,241.3
9.77,1112,120952,91.9
4.87,2064,273611.9,229
2.52,1598,214070.7,149.3
5.3,723,119320.8,60.8
10.47,1457,184729.1,157.6
9.85,2649,286697.7,275.1
8.55,820,96522.4,84.5
3.22,1997,275928,144.7
7.53,898,139667.8,64.1
7.68,1198,122166.6,98.2
3.27,1912,239217.5,251.6
3.02,2207,297776.1,231.2
3.9,642,75736,84.5
9.48,748,158011.2,47.3
0.72,583,70893.3,82.1
9.3,542,77857.2,69.5
10.02,1659,205113.6,181.7
5.37,712,286395.6,24.9
9.95,397,47942.3,82.7
11.6,655,83620.8,78
1.87,1985,192622,314.3
16.38,1185,206163.8,130
6.78,872,89303.1,98
10.2,2159,227235.4,189.9
12.27,617,73662,83.4
9.15,984,159117.1,61.9
5.8,1473,200312.3,148.3
17.5,1230,169443.9,145.1
5.33,1321,207648.6,126.8
15.45,639,110443.8,58.1
11.87,1417,252631.6,112.4
8.63,888,131533.1,67.3
7.93,1553,296006.3,104.8
9.45,820,172074.2,47.7
